Category,Month,Value,Year,Source
ENCAMINHADOS para curso profissionalizante,NOV,6.0,2021,LEM_2021.xlsx
Efetivos na casa,NOV,18.0,2021,LEM_2021.xlsx
Ensino EJA,NOV,,2021,LEM_2021.xlsx
Ensino infantil,NOV,,2021,LEM_2021.xlsx
Ensino regular,NOV,,2021,LEM_2021.xlsx
Evasão,NOV,0.0,2021,LEM_2021.xlsx
INSERIDO no mercado de trabalho,NOV,0.0,2021,LEM_2021.xlsx
INSERIDOS em curso profissionalizante,NOV,0.0,2021,LEM_2021.xlsx
Interface com educação,NOV,25.0,2021,LEM_2021.xlsx
Interface com judiciário,NOV,6.0,2021,LEM_2021.xlsx
Interface com rede socioassistencial,NOV,15.0,2021,LEM_2021.xlsx
Interface com saúde,NOV,10.0,2021,LEM_2021.xlsx
Internações,NOV,0.0,2021,LEM_2021.xlsx
Novos ingressos,NOV,2.0,2021,LEM_2021.xlsx
"Outros: Reforço escolar, psicopedagoga, trabalho educativo",NOV,0.0,2021,LEM_2021.xlsx
PIAS / Relatórios,NOV,5.0,2021,LEM_2021.xlsx
PROFISSIONALIZAÇÃO,NOV,,2021,LEM_2021.xlsx
"Reunião de equipe (técnica, casa, coordenação, gerente)",NOV,5.0,2021,LEM_2021.xlsx
SAÚDE,NOV,,2021,LEM_2021.xlsx
SCFV,NOV,,2021,LEM_2021.xlsx
Saude mental,NOV,25.0,2021,LEM_2021.xlsx
Saúde Clínica,NOV,12.0,2021,LEM_2021.xlsx
Transferências,NOV,1.0,2021,LEM_2021.xlsx
Visitas Domiciliares,NOV,1.0,2021,LEM_2021.xlsx
aguardando vaga,NOV,0.0,2021,LEM_2021.xlsx
matriculados,NOV,0.0,2021,LEM_2021.xlsx
,NOV,,2021,LEM_2021.xlsx
Apadrinhamento afetivo,DEZ,12.0,2021,LEM_2021.xlsx
Atedimento familiar,DEZ,24.0,2021,LEM_2021.xlsx
Atendimentos indvidual,DEZ,58.0,2021,LEM_2021.xlsx
Colocação em família substituta,DEZ,0.0,2021,LEM_2021.xlsx
DESDOBRAMENTOS TÉCNICOS,DEZ,,2021,LEM_2021.xlsx
Desligamentos,DEZ,0.0,2021,LEM_2021.xlsx
Documentação civil (RG / CPF/ CTPS / Certidão de nascimento),DEZ,3.0,2021,LEM_2021.xlsx
EDUCAÇÃO,DEZ,,2021,LEM_2021.xlsx
ENCAMINHADO para mercado de trabalho,DEZ,0.0,2021,LEM_2021.xlsx
ENCAMINHADOS para curso profissionalizante,DEZ,6.0,2021,LEM_2021.xlsx
Efetivos na casa,DEZ,14.0,2021,LEM_2021.xlsx
Ensino EJA,DEZ,,2021,LEM_2021.xlsx
Ensino infantil,DEZ,,2021,LEM_2021.xlsx
Ensino regular,DEZ,,2021,LEM_2021.xlsx
Evasão,DEZ,0.0,2021,LEM_2021.xlsx
INSERIDO no mercado de trabalho,DEZ,0.0,2021,LEM_2021.xlsx
INSERIDOS em curso profissionalizante,DEZ,0.0,2021,LEM_2021.xlsx
